zoneId;Attractivity:Work;Attractivity:Business;Attractivity:Otherhome;Attractivity:Education;Attractivity:Shopping;Attractivity:Leisure;Attractivity:Service;Attractivity:Education_Primary;Attractivity:Education_Secondary;Attractivity:Education_Tertiary;Attractivity:Education_Occup;Attractivity:Leisure_Indoor;Attractivity:Leisure_Outdoor;Attractivity:Leisure_Walk;Attractivity:Shopping_Daily;Attractivity:Shopping_Other;Attractivity:Private_Business;Attractivity:Private_Visit
322;130;0;0;50;20;40;0;0;0;0;0;0;0;85;0;0;0;0
323;90;0;0;20;40;0;20;0;0;0;0;0;0;90;0;0;0;0
324;160;0;0;60;0;0;10;0;0;0;0;0;0;140;0;0;0;0
325;250;0;0;70;20;20;60;0;0;0;0;0;0;120;0;0;0;0
326;80;0;0;40;0;0;0;0;0;0;0;0;0;45;0;0;0;0
327;170;0;0;60;480;110;140;0;0;0;0;0;0;85;0;0;0;0
328;90;0;0;20;80;120;80;0;0;0;0;0;0;55;0;0;0;0
329;60;0;0;10;20;0;0;0;0;0;0;0;0;30;0;0;0;0
330;220;0;0;80;120;90;150;0;0;0;0;0;0;130;0;0;0;0
331;30;0;0;30;0;0;0;0;0;0;0;0;0;15;0;0;0;0
332;100;0;0;30;40;50;20;0;0;0;0;0;0;45;0;0;0;0
333;60;0;0;10;0;0;40;0;0;0;0;0;0;10;0;0;0;0
334;80;0;0;10;0;20;20;0;0;0;0;0;0;15;0;0;0;0
335;160;0;0;50;0;0;0;0;0;0;0;0;0;60;0;0;0;0
336;90;0;0;20;20;60;10;0;0;0;0;0;0;35;0;0;0;0
337;110;0;0;20;60;30;110;0;0;0;0;0;0;105;0;0;0;0
338;270;0;0;60;250;360;220;0;0;0;0;0;0;120;0;0;0;0
339;350;0;0;130;910;1110;620;0;0;0;0;0;0;105;0;0;0;0
340;210;0;0;140;180;260;260;0;0;0;0;0;0;100;0;0;0;0
341;160;0;0;70;90;120;50;0;0;0;0;0;0;100;0;0;0;0
342;250;0;0;70;90;110;30;0;0;0;0;0;0;95;0;0;0;0
343;160;0;0;100;200;200;290;0;0;0;0;0;0;110;0;0;0;0
344;30;0;0;30;0;40;20;0;0;0;0;0;0;65;0;0;0;0
345;120;0;0;30;110;220;190;0;0;0;0;0;0;90;0;0;0;0
346;80;0;0;20;130;270;130;0;0;0;0;0;0;90;0;0;0;0
347;340;0;0;120;200;270;360;0;0;0;0;0;0;120;0;0;0;0
348;190;0;0;70;640;450;310;0;0;0;0;0;0;50;0;0;0;0
349;150;0;0;30;20;110;80;0;0;0;0;0;0;80;0;0;0;0
350;160;0;0;40;410;580;490;0;0;0;0;0;0;150;0;0;0;0
351;270;0;0;80;210;210;210;0;0;0;0;0;0;60;0;0;0;0
352;250;0;0;110;280;270;190;0;0;0;0;0;0;85;0;0;0;0
353;220;0;0;50;280;210;220;0;0;0;0;0;0;70;0;0;0;0
354;210;0;0;40;320;500;260;0;0;0;0;0;0;85;0;0;0;0
